41.9093357#-72.6790452#41.9093357#-72.6790452,5157441,8835
42.7639008#-70.8022995#42.7639008#-70.8022995,2350089,3924
40.5798676#-79.9414158#40.5798676#-79.9414158,2337841,3881
41.9633833#-87.6344204#41.9633833#-87.6344204,2196324,3639
34.9355919#-81.8564755#34.9355919#-81.8564755,2082249,3358
40.6602841#-73.9689534#40.6602841#-73.9689534,1968409,3277
41.2619859#-72.5548234#41.2619859#-72.5548234,1934881,3159
38.9338272#-74.9550854#38.9338272#-74.9550854,1929321,3378
41.6277095#-83.191884#41.6277095#-83.191884,1731856,2935
39.577396#-105.1634744#39.577396#-105.1634744,1664100,2889
27.6155866#-82.7342284#27.6155866#-82.7342284,1592644,2597
40.7715482#-73.9724819#40.7715482#-73.9724819,1530169,2566
40.5212324#-74.213022#40.5212324#-74.213022,1525225,2678
38.9359287#-74.9434519#38.9359287#-74.9434519,1292769,2204
26.1260304#-97.9559173#26.1260304#-97.9559173,1272384,1921
40.7715482#-73.9724819#40.7771162#-73.9695739,1217208,2021
40.7771162#-73.9695739#40.7715482#-73.9724819,1217208,2082
32.278549#-111.022495#32.278549#-111.022495,1179396,1864
47.0812514#-122.7180576#47.0812514#-122.7180576,1046529,1681
31.7251514#-110.8801067#31.7251514#-110.8801067,1030225,1689
30.2181988#-97.6458054#30.2181988#-97.6458054,984064,1402
42.4751409#-71.3295084#42.4751409#-71.3295084,982081,1519
40.7771162#-73.9695739#40.7771162#-73.9695739,968256,1616
40.5154804#-74.2136955#40.5212324#-74.213022,886730,1546
40.5212324#-74.213022#40.5154804#-74.2136955,886730,1528
40.7833#-74.1025167#40.7833#-74.1025167,874225,1324
41.9048#-72.67874#41.9093357#-72.6790452,860709,1544
41.9093357#-72.6790452#41.9048#-72.67874,860709,1430
29.609375#-98.2426827#29.609375#-98.2426827,729316,1089
38.9328558#-74.9579416#38.9338272#-74.9550854,709779,1226
38.9338272#-74.9550854#38.9328558#-74.9579416,709779,1160
44.0072003#-73.255806#44.0072003#-73.255806,685584,1056
38.9613889#-74.9608333#38.9613889#-74.9608333,682276,1061
33.8509841#-83.4650365#33.8509841#-83.4650365,677329,983
43.1123805#-89.4845503#43.1123805#-89.4845503,669124,1014
39.2670818#-75.4695511#39.2670818#-75.4695511,608400,1008
42.371#-71.146#42.371#-71.146,602176,784
36.0623784#-86.9479251#36.0623784#-86.9479251,600625,791
41.9018219#-72.6707947#41.9093357#-72.6790452,599544,1044
41.9093357#-72.6790452#41.9018219#-72.6707947,599544,986
31.7633436#-110.8458804#31.7633436#-110.8458804,573049,810
35.9144202#-78.9454156#35.9144202#-78.9454156,540225,694
39.24#-76.86#39.24#-76.86,540225,745
40.5154804#-74.2136955#40.5154804#-74.2136955,515524,858
43.1227109#-74.7972608#43.1227109#-74.7972608,480249,618
40.5192274#-74.2132466#40.5212324#-74.213022,475475,847
40.5212324#-74.213022#40.5192274#-74.2132466,475475,814
42.5796301#-82.8032684#42.5796301#-82.8032684,467856,620
39.8861131#-75.2619372#39.8861131#-75.2619372,461041,694
33.3614502#-111.7339478#33.3614502#-111.7339478,461041,645
31.5390131#-110.7606337#31.5390131#-110.7606337,458329,621
33.6636#-117.8463#33.6636#-117.8463,448900,696
26.4865944#-80.1613639#26.4865944#-80.1613639,440896,558
40.6507186#-74.9280694#40.6507186#-74.9280694,434281,608
29.2178694#-94.934299#29.2178694#-94.934299,432964,613
41.9283#-87.637#41.9283#-87.637,430336,595
40.5171956#-74.2139906#40.5212324#-74.213022,427310,801
40.5212324#-74.213022#40.5171956#-74.2139906,427310,751
29.3040461#-98.4919047#29.3040461#-98.4919047,425104,532
